Upper,,Lower,
X,Y,X,Y
19.255058273206345,0.0039439729186086445,364.48073495132326,0.00009171933236104199
19.864029332008382,0.0037619584948241185,366.92252845194025,0.00008313077297034122
20.42589791489388,0.004001177451798069,369.3643219525573,0.00010317074488197173
20.889795837597504,0.004663363260233203,371.80611545317436,0.00015756495435639492
21.499155915857063,0.004524685604016417,374.24790895379135,0.00015756495435639492
22.105326034564957,0.004030646453744131,376.6897024544084,0.00017760492626802543
22.717331445135653,0.004186658816988011,379.1314959550254,0.00022054772322151542
23.221142764180836,0.004760437619584949,381.57328945564245,0.00025490196078431157
23.492553859303502,0.005519697787371831,384.0150829562595,0.00030070761086803746
24.055869594570975,0.005920129519697788,386.4568764568765,0.0002835304920866394
24.561205869889644,0.00553009861158809,388.89866995749355,0.00030929617025873476
24.911323381657777,0.004854045037531278,391.34046345811055,0.0003522389672122282
25.26097407007688,0.0041259873423931705,393.7822569587276,0.0003780046453843236
25.866054934303722,0.0035106052429311994,396.22405045934465,0.0004953816237238673
26.475181600888764,0.0033459255261737743,398.66584395996165,0.0005383244206773573
27.083997051907797,0.0031465763953621474,400.9041546688606,0.0007100956084913276
27.691956660120287,0.0028518863759014884,402.8808446455506,0.0009235826562029731
28.302094777294887,0.002799882254820193,404.68312080076794,0.0010978077181285732
28.91472261899761,0.0030252334461724657,405.46216920334575,0.0014899368011667448
29.52602779454477,0.0031032396277944074,406.76445907034145,0.0017063684978123432
30.135387872804326,0.0029645619715776214,407.64169599463725,0.002040368029672838
30.74256944210177,0.0025831984169814755,407.82256958727555,0.002767914438502668
31.352085128144335,0.002461855467791787,408.2295351707117,0.002470750283584504
31.915821004425933,0.0029090909090909098,408.2295351707117,0.002290390536379836
32.37991343685832,0.0035929451013099155,409.04346633758405,0.0017407227353751394
32.89493629666924,0.00428199970563705,408.941724941725,0.0014701831145681361
33.50600806054189,0.004334003826718346,409.24694912930215,0.0019983795170960897
34.113500845405355,0.003987309686176391,409.36903880433294,0.0011979257818829983
34.72146045361784,0.0036926196667157254,410.46784587961065,0.0009706152433425139
35.33268782527348,0.0037619584948241185,412.0666392431099,0.0007444498460541203
35.94189229575004,0.0036059461315802385,414.53750171397235,0.0006048857559552701
36.55109676622659,0.0034499337683363586,416.9792952145894,0.00043812456111921166
37.16294656901427,0.0035886114245531377,419.4210887152064,0.00039804461729595064
37.773395901754895,0.0035712767175260472,421.86288221582345,0.0003465132609517599
38.38221135277392,0.0033719275867144204,424.3046757164405,0.00032361043590989694
38.98985974542039,0.0030425681531995596,426.7464692170575,0.0003751417922540877
39.59673009915183,0.0026265351845492155,429.18826271767455,0.000403770323556419
40.20616798130288,0.0024965248818459816,431.6300562182916,0.0005354615675471248
40.815139040104924,0.0023145104580614556,434.0718497189086,0.0005182844487657268
41.42216500161936,0.0019158121964382088,436.51364321952565,0.00040663317668664795
42.03160288377042,0.001785801893734975,438.95543672014264,0.0003321989953005977
42.64220782429405,0.001785801893734975,441.3972302207597,0.0002405876951331494
43.25444664653925,0.001967816317519501,443.83902372137675,0.00014897639496569415
43.86847495828904,0.002349179872115654,446.28081722199374,0.00006595365418894661
44.48289228949638,0.0027738801942795467,448.7226107226108,0.000057365094798245836
45.09559793509061,0.0030078987391453683,451.1644042232278,0.00006881650731917904
45.70721432620378,0.0031205743348215013,453.60619772384484,0.000025873710365685587
46.31649660057184,0.0029732293250911736,456.0479912244619,0.000023010857235453153
46.926012286614394,0.0028518863759014884,458.4897847250789,0.000023010857235453153
47.53685063881254,0.0028778884364421345,460.93157822569594,0.000023010857235453153
48.14675534431262,0.002799882254820193,463.373371726313,0.000023010857235453153
48.754792756416606,0.0025138595888730825,465.81516522693,0.000023010857235453153
49.36446405024218,0.0024098513467104947,468.25695872754704,0.000023010857235453153
49.97467997130828,0.0023665145791427478,470.69875222816404,0.000023010857235453153
50.58302859897829,0.0021151613272498357,473.1405457287811,0.000023010857235453153
51.19091040329927,0.001811803954275621,475.58233922939814,0.000023010857235453153
51.800192677667326,0.0016644589445452898,478.02413273001514,0.000023010857235453153
52.41001957927591,0.0015777854094098029,480.4659262306322,0.000023010857235453153
53.020079892559,0.001517113934814962,482.9077197312492,0.000023010857235453153
53.6302958136251,0.0014737771672472151,485.34951323186624,0.000023010857235453153
54.24066734247421,0.001447775106706569,487.7913067324833,0.000023010857235453153
